# Integrating range for the LC and SED
# Energy_min, Energy_max
0.049999999999999996,50
0.055709569209792115,50
0.06207112203081239,50
0.0691591093740999,50
0.07705648380328006,50
0.08585567035004113,50
0.09565964818837426,50
0.10658315582669206,50
0.11875403392250322,50
0.13231472143495393,50
0.14742392262509865,50
0.16425846441323944,50
0.1830153658304708,50
0.2039141437837608,50
0.22719938211953847,50
0.25314359405220876,50
0.28205041145734094,50
0.31425813835466165,50
0.3501437101681891,50
0.3901271050997625,50
0.43467625924342135,50
0.4843125429634986,50
0.5396168626279089,50
0.6012364591068079,50
0.6698924826012213,50
0.7463884324518439,50
0.8316195607012855,50
0.9265833494621036,50
1.0323911847100011,50
1.1502813631236224,50
1.2816335841933892,50
1.4279850972043118,50
1.5910486920651068,50
1.7727327445350058,50
1.9751635504427538,50
2.2007102102809863,50
2.452012355406897,50
2.7320110403361184,50
3.0439831626704232,50
3.3915798134845985,50
3.778869006997082,50
4.210383289600847,50
4.691172785435414,50
5.226864299306152,50
5.823727168647751,50
6.488746635214575,50
7.2297055951858455,50
8.05527568442854,50
8.975118764912551,50
10.0,50
